"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2368","32","text","0","2370","0.0-0.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"667","32","text","1","3139","0.0-1.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"536","32","text","2","3777","0.0-2.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"3199","32","text","3","7077","0.0-3.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"9264","32","mine-text","4","16556","0.0-4.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"1296","32","text","5","17953","0.0-5.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"466","32","text","6","18521","0.0-6.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"1201","32","mine-text","7","19993","0.0-7.0","A3CXK1KSRGU27V","1517431369715","","","","","",""
"3510","","forage01","8","23606","0.0-8.0-0.0","A3CXK1KSRGU27V","1517431369715","0","52","dirt","0","no mineshafts yet","0"
"1956","","forage01","9","25665","0.0-8.0-1.0","A3CXK1KSRGU27V","1517431369715","0","51","dirt","0","dirt","0"
"529","","forage01","10","26297","0.0-8.0-2.0","A3CXK1KSRGU27V","1517431369715","0","50","dirt","0","dirt","0"
"1096","","forage01","11","27495","0.0-8.0-3.0","A3CXK1KSRGU27V","1517431369715","0","49","gold","0","dirt","0"
"1159","","forage01","12","28756","0.0-8.0-4.0","A3CXK1KSRGU27V","1517431369715","1","48","gold","1000","gold","1000"
"342","","forage01","13","29201","0.0-8.0-5.0","A3CXK1KSRGU27V","1517431369715","1","47","gold","1000","gold","2000"
"304","","forage01","14","29607","0.0-8.0-6.0","A3CXK1KSRGU27V","1517431369715","1","46","gold","1000","gold","3000"
"680","","forage01","15","30389","0.0-8.0-7.0","A3CXK1KSRGU27V","1517431369715","1","45","gold","1000","gold","4000"
"283","","forage01","16","30774","0.0-8.0-8.0","A3CXK1KSRGU27V","1517431369715","1","44","gold","1000","gold","5000"
"273","","forage01","17","31150","0.0-8.0-9.0","A3CXK1KSRGU27V","1517431369715","1","43","gold","1000","gold","6000"
"317","","forage01","18","31569","0.0-8.0-10.0","A3CXK1KSRGU27V","1517431369715","1","42","gold","1000","gold","7000"
"611","","forage01","19","32284","0.0-8.0-11.0","A3CXK1KSRGU27V","1517431369715","1","41","gold","1000","gold","8000"
"184","","forage01","20","32569","0.0-8.0-12.0","A3CXK1KSRGU27V","1517431369715","1","40","gold","1000","gold","9000"
"275","","forage01","21","32946","0.0-8.0-13.0","A3CXK1KSRGU27V","1517431369715","1","39","gold","1000","gold","10000"
"190","","forage01","22","33239","0.0-8.0-14.0","A3CXK1KSRGU27V","1517431369715","1","38","gold","1000","gold","11000"
"181","","forage01","23","33523","0.0-8.0-15.0","A3CXK1KSRGU27V","1517431369715","1","37","gold","1000","gold","12000"
"189","","forage01","24","33813","0.0-8.0-16.0","A3CXK1KSRGU27V","1517431369715","1","36","gold","1000","gold","13000"
"186","","forage01","25","34103","0.0-8.0-17.0","A3CXK1KSRGU27V","1517431369715","1","35","gold","1000","gold","14000"
"203","","forage01","26","34409","0.0-8.0-18.0","A3CXK1KSRGU27V","1517431369715","1","34","gold","1000","gold","15000"
"186","","forage01","27","34697","0.0-8.0-19.0","A3CXK1KSRGU27V","1517431369715","1","33","gold","1000","gold","16000"
"184","","forage01","28","34984","0.0-8.0-20.0","A3CXK1KSRGU27V","1517431369715","1","32","gold","1000","gold","17000"
"191","","forage01","29","35277","0.0-8.0-21.0","A3CXK1KSRGU27V","1517431369715","1","31","gold","1000","gold","18000"
"204","","forage01","30","35582","0.0-8.0-22.0","A3CXK1KSRGU27V","1517431369715","1","30","gold","1000","gold","19000"
"178","","forage01","31","35863","0.0-8.0-23.0","A3CXK1KSRGU27V","1517431369715","1","29","gold","1000","gold","20000"
"199","","forage01","32","36164","0.0-8.0-24.0","A3CXK1KSRGU27V","1517431369715","1","28","gold","1000","gold","21000"
"204","","forage01","33","36470","0.0-8.0-25.0","A3CXK1KSRGU27V","1517431369715","1","27","gold","1000","gold","22000"
"192","","forage01","34","36766","0.0-8.0-26.0","A3CXK1KSRGU27V","1517431369715","1","26","gold","1000","gold","23000"
"194","","forage01","35","37063","0.0-8.0-27.0","A3CXK1KSRGU27V","1517431369715","1","25","gold","1000","gold","24000"
"200","","forage01","36","37366","0.0-8.0-28.0","A3CXK1KSRGU27V","1517431369715","1","24","gold","1000","gold","25000"
"200","","forage01","37","37669","0.0-8.0-29.0","A3CXK1KSRGU27V","1517431369715","1","23","gold","1000","gold","26000"
"191","","forage01","38","37964","0.0-8.0-30.0","A3CXK1KSRGU27V","1517431369715","1","22","gold","1000","gold","27000"
"188","","forage01","39","38256","0.0-8.0-31.0","A3CXK1KSRGU27V","1517431369715","1","21","gold","1000","gold","28000"
"198","","forage01","40","38555","0.0-8.0-32.0","A3CXK1KSRGU27V","1517431369715","1","20","gold","1000","gold","29000"
"202","","forage01","41","38859","0.0-8.0-33.0","A3CXK1KSRGU27V","1517431369715","1","19","gold","1000","gold","30000"
"189","","forage01","42","39150","0.0-8.0-34.0","A3CXK1KSRGU27V","1517431369715","1","18","gold","1000","gold","31000"
"182","","forage01","43","39434","0.0-8.0-35.0","A3CXK1KSRGU27V","1517431369715","1","17","gold","1000","gold","32000"
"195","","forage01","44","39732","0.0-8.0-36.0","A3CXK1KSRGU27V","1517431369715","1","16","gold","1000","gold","33000"
