"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"22420","32","text","0","22423","0.0-0.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"14730","32","text","1","37254","0.0-1.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"2053","32","text","2","39409","0.0-2.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"17240","32","text","3","56753","0.0-3.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"16487","32","mine-text","4","73534","0.0-4.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"64129","32","text","5","137765","0.0-5.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"9396","32","text","6","147264","0.0-6.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"4747","32","mine-text","7","152332","0.0-7.0","A320QA9HJFUOZO","1517428139559","","","","","",""
"3599","","forage01","8","156036","0.0-8.0-0.0","A320QA9HJFUOZO","1517428139559","0","52","dirt","0","no mineshafts yet","0"
"1576","","forage01","9","157718","0.0-8.0-1.0","A320QA9HJFUOZO","1517428139559","0","51","diamond","0","dirt","0"
"942","","forage01","10","158765","0.0-8.0-2.0","A320QA9HJFUOZO","1517428139559","1","50","diamond","100000","diamond","100000"
"861","","forage01","11","159732","0.0-8.0-3.0","A320QA9HJFUOZO","1517428139559","1","49","diamond","100000","diamond","200000"
"1915","","forage01","12","161751","0.0-8.0-4.0","A320QA9HJFUOZO","1517428139559","1","48","diamond","100000","diamond","300000"
"1593","","forage01","13","163449","0.0-8.0-5.0","A320QA9HJFUOZO","1517428139559","1","47","diamond","100000","diamond","400000"
"859","","forage01","14","164411","0.0-8.0-6.0","A320QA9HJFUOZO","1517428139559","1","46","diamond","100000","diamond","500000"
"413","","forage01","15","164928","0.0-8.0-7.0","A320QA9HJFUOZO","1517428139559","1","45","diamond","100000","diamond","600000"
"388","","forage01","16","165420","0.0-8.0-8.0","A320QA9HJFUOZO","1517428139559","1","44","diamond","100000","diamond","700000"
"273","","forage01","17","165798","0.0-8.0-9.0","A320QA9HJFUOZO","1517428139559","1","43","diamond","100000","diamond","800000"
"232","","forage01","18","166133","0.0-8.0-10.0","A320QA9HJFUOZO","1517428139559","1","42","diamond","100000","diamond","900000"
"176","","forage01","19","166415","0.0-8.0-11.0","A320QA9HJFUOZO","1517428139559","1","41","diamond","100000","diamond","1000000"
"130","","forage01","20","166648","0.0-8.0-12.0","A320QA9HJFUOZO","1517428139559","1","40","diamond","100000","diamond","1100000"
"131","","forage01","21","166883","0.0-8.0-13.0","A320QA9HJFUOZO","1517428139559","1","39","diamond","100000","diamond","1200000"
"139","","forage01","22","167125","0.0-8.0-14.0","A320QA9HJFUOZO","1517428139559","1","38","diamond","100000","diamond","1300000"
"137","","forage01","23","167365","0.0-8.0-15.0","A320QA9HJFUOZO","1517428139559","1","37","diamond","100000","diamond","1400000"
"111","","forage01","24","167582","0.0-8.0-16.0","A320QA9HJFUOZO","1517428139559","1","36","diamond","100000","diamond","1500000"
"122","","forage01","25","167807","0.0-8.0-17.0","A320QA9HJFUOZO","1517428139559","1","35","diamond","100000","diamond","1600000"
"106","","forage01","26","168016","0.0-8.0-18.0","A320QA9HJFUOZO","1517428139559","1","34","diamond","100000","diamond","1700000"
"290","","forage01","27","168410","0.0-8.0-19.0","A320QA9HJFUOZO","1517428139559","1","33","diamond","100000","diamond","1800000"
"408","","forage01","28","168923","0.0-8.0-20.0","A320QA9HJFUOZO","1517428139559","1","32","diamond","100000","diamond","1900000"
"422","","forage01","29","169449","0.0-8.0-21.0","A320QA9HJFUOZO","1517428139559","1","31","diamond","100000","diamond","2000000"
"226","","forage01","30","169781","0.0-8.0-22.0","A320QA9HJFUOZO","1517428139559","1","30","diamond","100000","diamond","2100000"
"274","","forage01","31","170159","0.0-8.0-23.0","A320QA9HJFUOZO","1517428139559","1","29","diamond","100000","diamond","2200000"
"256","","forage01","32","170519","0.0-8.0-24.0","A320QA9HJFUOZO","1517428139559","1","28","diamond","100000","diamond","2300000"
"444","","forage01","33","171065","0.0-8.0-25.0","A320QA9HJFUOZO","1517428139559","1","27","diamond","100000","diamond","2400000"
"850","","forage01","34","172020","0.0-8.0-26.0","A320QA9HJFUOZO","1517428139559","1","26","diamond","100000","diamond","2500000"
"429","","forage01","35","172552","0.0-8.0-27.0","A320QA9HJFUOZO","1517428139559","1","25","diamond","100000","diamond","2600000"
"414","","forage01","36","173069","0.0-8.0-28.0","A320QA9HJFUOZO","1517428139559","1","24","diamond","100000","diamond","2700000"
"345","","forage01","37","173517","0.0-8.0-29.0","A320QA9HJFUOZO","1517428139559","1","23","diamond","100000","diamond","2800000"
"202","","forage01","38","173841","0.0-8.0-30.0","A320QA9HJFUOZO","1517428139559","1","22","diamond","100000","diamond","2900000"
