"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5737","","forage01","16","167678","0.0-8.0-8.0","A3L2UB07EZJAMD","1516908360766","1","44","gold","1000","gold","6000"
"704","","forage01","17","168486","0.0-8.0-9.0","A3L2UB07EZJAMD","1516908360766","1","43","gold","1000","gold","7000"
"394","","forage01","18","168982","0.0-8.0-10.0","A3L2UB07EZJAMD","1516908360766","1","42","gold","1000","gold","8000"
"330","","forage01","19","169422","0.0-8.0-11.0","A3L2UB07EZJAMD","1516908360766","1","41","gold","1000","gold","9000"
"321","","forage01","20","169847","0.0-8.0-12.0","A3L2UB07EZJAMD","1516908360766","1","40","gold","1000","gold","10000"
"511","","forage01","21","170461","0.0-8.0-13.0","A3L2UB07EZJAMD","1516908360766","0","39","gold","0","gold","10000"
"1593","","forage01","22","172158","0.0-8.0-14.0","A3L2UB07EZJAMD","1516908360766","1","38","gold","1000","gold","11000"
"127","","forage01","23","172389","0.0-8.0-15.0","A3L2UB07EZJAMD","1516908360766","1","37","gold","1000","gold","12000"
"154","","forage01","24","172646","0.0-8.0-16.0","A3L2UB07EZJAMD","1516908360766","1","36","gold","1000","gold","13000"
"122","","forage01","25","172870","0.0-8.0-17.0","A3L2UB07EZJAMD","1516908360766","1","35","gold","1000","gold","14000"
"128","","forage01","26","173102","0.0-8.0-18.0","A3L2UB07EZJAMD","1516908360766","1","34","gold","1000","gold","15000"
"464","","forage01","27","173669","0.0-8.0-19.0","A3L2UB07EZJAMD","1516908360766","0","33","dirt","0","gold","15000"
"4738","","forage01","28","178510","0.0-8.0-20.0","A3L2UB07EZJAMD","1516908360766","0","32","dirt","0","gold","15000"
"1329","","forage01","29","179942","0.0-8.0-21.0","A3L2UB07EZJAMD","1516908360766","0","31","gold","0","gold","15000"
"1904","","forage01","30","181950","0.0-8.0-22.0","A3L2UB07EZJAMD","1516908360766","1","30","gold","1000","gold","16000"
"127","","forage01","31","182181","0.0-8.0-23.0","A3L2UB07EZJAMD","1516908360766","1","29","gold","1000","gold","17000"
"131","","forage01","32","182422","0.0-8.0-24.0","A3L2UB07EZJAMD","1516908360766","1","28","gold","1000","gold","18000"
"126","","forage01","33","182658","0.0-8.0-25.0","A3L2UB07EZJAMD","1516908360766","1","27","gold","1000","gold","19000"
"722","","forage01","34","183486","0.0-8.0-26.0","A3L2UB07EZJAMD","1516908360766","0","26","dirt","0","gold","19000"
"1282","","forage01","35","184878","0.0-8.0-27.0","A3L2UB07EZJAMD","1516908360766","0","25","dirt","0","gold","19000"
"568","","forage01","36","185549","0.0-8.0-28.0","A3L2UB07EZJAMD","1516908360766","0","24","dirt","0","gold","19000"
"539","","forage01","37","186193","0.0-8.0-29.0","A3L2UB07EZJAMD","1516908360766","0","23","dirt","0","gold","19000"
"1451","","forage01","38","187750","0.0-8.0-30.0","A3L2UB07EZJAMD","1516908360766","0","22","gold","0","gold","19000"
"2151","","forage01","39","190005","0.0-8.0-31.0","A3L2UB07EZJAMD","1516908360766","1","21","gold","1000","gold","20000"
"136","","forage01","40","190245","0.0-8.0-32.0","A3L2UB07EZJAMD","1516908360766","1","20","gold","1000","gold","21000"
"103","","forage01","41","190461","0.0-8.0-33.0","A3L2UB07EZJAMD","1516908360766","1","19","gold","1000","gold","22000"
"327","","forage01","42","190909","0.0-8.0-34.0","A3L2UB07EZJAMD","1516908360766","1","18","gold","1000","gold","23000"
"592","","forage01","43","191605","0.0-8.0-35.0","A3L2UB07EZJAMD","1516908360766","1","17","gold","1000","gold","24000"
"621","","forage01","44","192366","0.0-8.0-36.0","A3L2UB07EZJAMD","1516908360766","0","16","dirt","0","gold","24000"
"896","","forage01","45","193365","0.0-8.0-37.0","A3L2UB07EZJAMD","1516908360766","0","15","dirt","0","gold","24000"
"495","","forage01","46","193965","0.0-8.0-38.0","A3L2UB07EZJAMD","1516908360766","0","14","dirt","0","gold","24000"
"1928","","forage01","47","195997","0.0-8.0-39.0","A3L2UB07EZJAMD","1516908360766","1","13","gold","1000","gold","25000"
"152","","forage01","48","196253","0.0-8.0-40.0","A3L2UB07EZJAMD","1516908360766","1","12","gold","1000","gold","26000"
"161","","forage01","49","196525","0.0-8.0-41.0","A3L2UB07EZJAMD","1516908360766","1","11","gold","1000","gold","27000"
"128","","forage01","50","196757","0.0-8.0-42.0","A3L2UB07EZJAMD","1516908360766","1","10","gold","1000","gold","28000"
"132","","forage01","51","197015","0.0-8.0-43.0","A3L2UB07EZJAMD","1516908360766","1","9","gold","1000","gold","29000"
"150","","forage01","52","197270","0.0-8.0-44.0","A3L2UB07EZJAMD","1516908360766","1","8","gold","1000","gold","30000"
"157","","forage01","53","197533","0.0-8.0-45.0","A3L2UB07EZJAMD","1516908360766","1","7","gold","1000","gold","31000"
"569","","forage01","54","198205","0.0-8.0-46.0","A3L2UB07EZJAMD","1516908360766","1","6","gold","1000","gold","32000"
"122","","forage01","55","198438","0.0-8.0-47.0","A3L2UB07EZJAMD","1516908360766","1","5","gold","1000","gold","33000"
"110","","forage01","56","198653","0.0-8.0-48.0","A3L2UB07EZJAMD","1516908360766","1","4","gold","1000","gold","34000"
"105","","forage01","57","198869","0.0-8.0-49.0","A3L2UB07EZJAMD","1516908360766","1","3","gold","1000","gold","35000"
"123","","forage01","58","199095","0.0-8.0-50.0","A3L2UB07EZJAMD","1516908360766","1","2","gold","1000","gold","36000"
"93","","forage01","59","199301","0.0-8.0-51.0","A3L2UB07EZJAMD","1516908360766","1","1","gold","1000","gold","37000"
"6056","32","mine-text","60","205667","0.0-9.0","A3L2UB07EZJAMD","1516908360766","","","","","",""
"1060","","forage01","61","206831","0.0-10.0-0.0","A3L2UB07EZJAMD","1516908360766","0","52","dirt","0","no mineshafts yet","0"
"718","","forage01","62","207652","0.0-10.0-1.0","A3L2UB07EZJAMD","1516908360766","0","51","gold","0","dirt","0"
"2558","","forage01","63","210316","0.0-10.0-2.0","A3L2UB07EZJAMD","1516908360766","1","50","gold","1000","gold","1000"
"122","","forage01","64","210540","0.0-10.0-3.0","A3L2UB07EZJAMD","1516908360766","1","49","gold","1000","gold","2000"
"125","","forage01","65","210769","0.0-10.0-4.0","A3L2UB07EZJAMD","1516908360766","1","48","gold","1000","gold","3000"
"573","","forage01","66","211444","0.0-10.0-5.0","A3L2UB07EZJAMD","1516908360766","0","47","dirt","0","gold","3000"
"618","","forage01","67","212165","0.0-10.0-6.0","A3L2UB07EZJAMD","1516908360766","0","46","dirt","0","gold","3000"
"672","","forage01","68","212941","0.0-10.0-7.0","A3L2UB07EZJAMD","1516908360766","0","45","dirt","0","gold","3000"
"1065","","forage01","69","214109","0.0-10.0-8.0","A3L2UB07EZJAMD","1516908360766","0","44","dirt","0","gold","3000"
"1371","","forage01","70","215588","0.0-10.0-9.0","A3L2UB07EZJAMD","1516908360766","0","43","gold","0","gold","3000"
"1409","","forage01","71","217100","0.0-10.0-10.0","A3L2UB07EZJAMD","1516908360766","1","42","gold","1000","gold","4000"
"133","","forage01","72","217340","0.0-10.0-11.0","A3L2UB07EZJAMD","1516908360766","1","41","gold","1000","gold","5000"
"153","","forage01","73","217596","0.0-10.0-12.0","A3L2UB07EZJAMD","1516908360766","1","40","gold","1000","gold","6000"
"121","","forage01","74","217820","0.0-10.0-13.0","A3L2UB07EZJAMD","1516908360766","1","39","gold","1000","gold","7000"
"124","","forage01","75","218052","0.0-10.0-14.0","A3L2UB07EZJAMD","1516908360766","1","38","gold","1000","gold","8000"
"121","","forage01","76","218277","0.0-10.0-15.0","A3L2UB07EZJAMD","1516908360766","1","37","gold","1000","gold","9000"
"117","","forage01","77","218500","0.0-10.0-16.0","A3L2UB07EZJAMD","1516908360766","1","36","gold","1000","gold","10000"
