"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"11830","32","text","0","11834","0.0-0.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"8577","32","text","1","20514","0.0-1.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"1121","32","text","2","21737","0.0-2.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"17415","32","text","3","39254","0.0-3.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"23940","32","mine-text","4","63493","0.0-4.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"122349","32","text","5","185944","0.0-5.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"7048","32","text","6","193092","0.0-6.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"22153","32","mine-text","7","215558","0.0-7.0","A3PYFNAED6X1BL","1516912874590","","","","","",""
"3417","","forage01","8","219084","0.0-8.0-0.0","A3PYFNAED6X1BL","1516912874590","0","52","gold","0","no mineshafts yet","0"
"5750","","forage01","9","224939","0.0-8.0-1.0","A3PYFNAED6X1BL","1516912874590","1","51","gold","1000","gold","1000"
"1257","","forage01","10","226299","0.0-8.0-2.0","A3PYFNAED6X1BL","1516912874590","1","50","gold","1000","gold","2000"
"3028","","forage01","11","229435","0.0-8.0-3.0","A3PYFNAED6X1BL","1516912874590","1","49","gold","1000","gold","3000"
"1038","","forage01","12","230579","0.0-8.0-4.0","A3PYFNAED6X1BL","1516912874590","1","48","gold","1000","gold","4000"
"784","","forage01","13","231467","0.0-8.0-5.0","A3PYFNAED6X1BL","1516912874590","1","47","gold","1000","gold","5000"
"1385","","forage01","14","232955","0.0-8.0-6.0","A3PYFNAED6X1BL","1516912874590","1","46","gold","1000","gold","6000"
"671","","forage01","15","233731","0.0-8.0-7.0","A3PYFNAED6X1BL","1516912874590","1","45","gold","1000","gold","7000"
"576","","forage01","16","234412","0.0-8.0-8.0","A3PYFNAED6X1BL","1516912874590","1","44","gold","1000","gold","8000"
"592","","forage01","17","235107","0.0-8.0-9.0","A3PYFNAED6X1BL","1516912874590","1","43","gold","1000","gold","9000"
"761","","forage01","18","235972","0.0-8.0-10.0","A3PYFNAED6X1BL","1516912874590","1","42","gold","1000","gold","10000"
"912","","forage01","19","236987","0.0-8.0-11.0","A3PYFNAED6X1BL","1516912874590","0","41","gold","0","gold","10000"
"1680","","forage01","20","238771","0.0-8.0-12.0","A3PYFNAED6X1BL","1516912874590","0","40","gold","0","gold","10000"
"2032","","forage01","21","240907","0.0-8.0-13.0","A3PYFNAED6X1BL","1516912874590","0","39","dirt","0","gold","10000"
"1226","","forage01","22","242236","0.0-8.0-14.0","A3PYFNAED6X1BL","1516912874590","0","38","dirt","0","gold","10000"
"1295","","forage01","23","243636","0.0-8.0-15.0","A3PYFNAED6X1BL","1516912874590","0","37","gold","0","gold","10000"
"1446","","forage01","24","245188","0.0-8.0-16.0","A3PYFNAED6X1BL","1516912874590","0","36","dirt","0","gold","10000"
"1190","","forage01","25","246484","0.0-8.0-17.0","A3PYFNAED6X1BL","1516912874590","0","35","dirt","0","gold","10000"
"1602","","forage01","26","248188","0.0-8.0-18.0","A3PYFNAED6X1BL","1516912874590","0","34","dirt","0","gold","10000"
"1519","","forage01","27","249812","0.0-8.0-19.0","A3PYFNAED6X1BL","1516912874590","0","33","dirt","0","gold","10000"
"657","","forage01","28","250572","0.0-8.0-20.0","A3PYFNAED6X1BL","1516912874590","0","32","gold","0","gold","10000"
"550","","forage01","29","251229","0.0-8.0-21.0","A3PYFNAED6X1BL","1516912874590","0","31","gold","0","gold","10000"
"4794","","forage01","30","256133","0.0-8.0-22.0","A3PYFNAED6X1BL","1516912874590","1","30","gold","1000","gold","11000"
"526","","forage01","31","256765","0.0-8.0-23.0","A3PYFNAED6X1BL","1516912874590","1","29","gold","1000","gold","12000"
"438","","forage01","32","257309","0.0-8.0-24.0","A3PYFNAED6X1BL","1516912874590","1","28","gold","1000","gold","13000"
"390","","forage01","33","257805","0.0-8.0-25.0","A3PYFNAED6X1BL","1516912874590","1","27","gold","1000","gold","14000"
"373","","forage01","34","258285","0.0-8.0-26.0","A3PYFNAED6X1BL","1516912874590","1","26","gold","1000","gold","15000"
"358","","forage01","35","258749","0.0-8.0-27.0","A3PYFNAED6X1BL","1516912874590","1","25","gold","1000","gold","16000"
"385","","forage01","36","259237","0.0-8.0-28.0","A3PYFNAED6X1BL","1516912874590","1","24","gold","1000","gold","17000"
"366","","forage01","37","259709","0.0-8.0-29.0","A3PYFNAED6X1BL","1516912874590","1","23","gold","1000","gold","18000"
"388","","forage01","38","260205","0.0-8.0-30.0","A3PYFNAED6X1BL","1516912874590","1","22","gold","1000","gold","19000"
"365","","forage01","39","260677","0.0-8.0-31.0","A3PYFNAED6X1BL","1516912874590","1","21","gold","1000","gold","20000"
"390","","forage01","40","261173","0.0-8.0-32.0","A3PYFNAED6X1BL","1516912874590","1","20","gold","1000","gold","21000"
"351","","forage01","41","261629","0.0-8.0-33.0","A3PYFNAED6X1BL","1516912874590","1","19","gold","1000","gold","22000"
